column_name,percent_missing
Case ID,0.0
Activity,0.0
Resource,0.0
Start Timestamp,0.0
Complete Timestamp,0.0
Variant,0.0
Variant index,0.0
lifecycle:transition,0.0
EventOrigin,0.0
EventID,0.0
Action,0.0
LoanGoal,0.0
ApplicationType,0.0
RequestedAmount,0.0
FirstWithdrawalAmount,69.82413148845144
NumberOfTerms,69.82413148845144
Accepted,69.82413148845144
MonthlyCost,69.82413148845144
Selected,69.82413148845144
CreditScore,69.82413148845144
OfferedAmount,69.82413148845144
OfferID,60.068099970214725
year,0.0
month,0.0
case:concept:name,0.0
concept:name,0.0
time:timestamp,0.0
